,DET_FLIP_ONE_BIT,DET_FLIP_TWO_BITS,DET_FLIP_FOUR_BITS,DET_FLIP_ONE_BYTE,DET_FLIP_TWO_BYTES,DET_FLIP_FOUR_BYTES,DET_ARITH_ADD_ONE,DET_ARITH_SUB_ONE,DET_ARITH_ADD_TWO_LE,DET_ARITH_SUB_TWO_LE,DET_ARITH_ADD_TWO_BIG,DET_ARITH_SUB_TWO_BIG,DET_ARITH_ADD_FOUR_LE,DET_ARITH_SUB_FOUR_LE,DET_ARITH_ADD_FOUR_BIG,DET_ARITH_SUB_FOUR_BIG,INTERESTING_BYTE,INTERESTING_TWO_BYTES_LE,INTERESTING_TWO_BYTES_BIG,INTERESTING_FOUR_BYTES_LE,INTERESTING_FOUR_BYTES_BIG,HAVOC_MUT_FLIPBIT,HAVOC_MUT_INTERESTING8,HAVOC_MUT_INTERESTING16,HAVOC_MUT_INTERESTING16BE,HAVOC_MUT_INTERESTING32,HAVOC_MUT_INTERESTING32BE,HAVOC_MUT_ARITH8_,HAVOC_MUT_ARITH8,HAVOC_MUT_ARITH16_,HAVOC_MUT_ARITH16BE_,HAVOC_MUT_ARITH16,HAVOC_MUT_ARITH16BE,HAVOC_MUT_ARITH32_,HAVOC_MUT_ARITH32BE_,HAVOC_MUT_ARITH32,HAVOC_MUT_ARITH32BE,HAVOC_MUT_RAND8,HAVOC_MUT_BYTEADD,HAVOC_MUT_BYTESUB,HAVOC_MUT_FLIP8,DICTIONARY_USER_EXTRAS_OVER,DICTIONARY_USER_EXTRAS_INSERT,DICTIONARY_AUTO_EXTRAS_OVER,DICTIONARY_AUTO_EXTRAS_INSERT,CUSTOM_MUTATOR,HAVOC
3114,0.194737,0.006757,0.006757,0.047368,0.000000,0,0.389474,0.310526,0.229730,0.182432,0.162162,0.141892,0,0,0,0,0,0,0,0,0,0.194737,0,0,0,0,0,0.310526,0.389474,0.182432,0.141892,0.229730,0.162162,0,0,0,0,0,0.389474,0.310526,0,0,0,0,0,0,0
3120,0.174721,0.017241,0.017241,0.040892,0.000000,0,0.382900,0.319703,0.163793,0.152299,0.175287,0.155172,0,0,0,0,0,0,0,0,0,0.174721,0,0,0,0,0,0.319703,0.382900,0.152299,0.155172,0.163793,0.175287,0,0,0,0,0,0.382900,0.319703,0,0,0,0,0,0,0
3122,0.388889,0.000000,0.000000,0.055556,0.000000,0,0.277778,0.555556,0.153846,0.153846,0.153846,0.000000,0,0,0,0,0,0,0,0,0,0.388889,0,0,0,0,0,0.555556,0.277778,0.153846,0.000000,0.153846,0.153846,0,0,0,0,0,0.277778,0.555556,0,0,0,0,0,0,0
3124,0.333333,0.000000,0.000000,0.000000,0.000000,0,0.400000,0.466667,0.222222,0.333333,0.111111,0.222222,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0.466667,0.400000,0.333333,0.222222,0.222222,0.111111,0,0,0,0,0,0.400000,0.466667,0,0,0,0,0,0,0
3125,0.222222,0.000000,0.000000,0.000000,0.000000,0,0.666667,0.222222,0.000000,0.000000,0.333333,0.333333,0,0,0,0,0,0,0,0,0,0.222222,0,0,0,0,0,0.222222,0.666667,0.000000,0.333333,0.000000,0.333333,0,0,0,0,0,0.666667,0.222222,0,0,0,0,0,0,0
3127,0.260504,0.010101,0.010101,0.058824,0.000000,0,0.386555,0.352941,0.202020,0.121212,0.121212,0.161616,0,0,0,0,0,0,0,0,0,0.260504,0,0,0,0,0,0.352941,0.386555,0.121212,0.161616,0.202020,0.121212,0,0,0,0,0,0.386555,0.352941,0,0,0,0,0,0,0
3128,0.194245,0.000000,0.000000,0.100719,0.000000,0,0.374101,0.381295,0.148649,0.155405,0.209459,0.162162,0,0,0,0,0,0,0,0,0,0.194245,0,0,0,0,0,0.381295,0.374101,0.155405,0.162162,0.148649,0.209459,0,0,0,0,0,0.374101,0.381295,0,0,0,0,0,0,0
3133,0.190616,0.019830,0.019830,0.052786,0.000000,0,0.360704,0.378299,0.130312,0.169972,0.158640,0.172805,0,0,0,0,0,0,0,0,0,0.190616,0,0,0,0,0,0.378299,0.360704,0.169972,0.172805,0.130312,0.158640,0,0,0,0,0,0.360704,0.378299,0,0,0,0,0,0,0
3135,0.192308,0.000000,0.000000,0.115385,0.000000,0,0.307692,0.500000,0.178571,0.107143,0.142857,0.142857,0,0,0,0,0,0,0,0,0,0.192308,0,0,0,0,0,0.500000,0.307692,0.107143,0.142857,0.178571,0.142857,0,0,0,0,0,0.307692,0.500000,0,0,0,0,0,0,0
3136,0.160000,0.000000,0.000000,0.080000,0.000000,0,0.480000,0.280000,0.230769,0.000000,0.153846,0.230769,0,0,0,0,0,0,0,0,0,0.160000,0,0,0,0,0,0.280000,0.480000,0.000000,0.230769,0.230769,0.153846,0,0,0,0,0,0.480000,0.280000,0,0,0,0,0,0,0
3138,0.211268,0.013793,0.013793,0.049296,0.000000,0,0.373239,0.408451,0.117241,0.220690,0.193103,0.158621,0,0,0,0,0,0,0,0,0,0.211268,0,0,0,0,0,0.408451,0.373239,0.220690,0.158621,0.117241,0.193103,0,0,0,0,0,0.373239,0.408451,0,0,0,0,0,0,0
